origin,destination,distance_km,avg_time_hours,base_cost_per_kg,route_type,risk_score
DEL,DXB,2200,4.5,6.5,hub,4
DEL,SIN,4150,7.5,7.5,hub,5
DEL,BKK,2900,5.5,6.8,hub,5
DEL,HKG,3700,6.5,7.2,hub,6

BOM,DXB,1900,4.0,6.2,hub,4
BOM,SIN,3900,7.0,7.3,hub,5
BOM,BKK,3000,5.5,6.7,hub,5

BLR,SIN,3200,6.0,7.0,hub,5
BLR,DXB,2700,5.0,6.8,hub,4

DXB,LHR,5500,8.0,8.5,hub,5
DXB,FRA,5200,7.5,8.2,hub,5
DXB,CDG,5250,7.5,8.3,hub,5
DXB,JFK,11000,14.0,10.5,long-haul,7
DXB,SYD,12000,15.0,10.8,long-haul,6
DXB,MEL,11600,14.5,10.6,long-haul,6

SIN,SYD,6300,8.5,9.0,hub,5
SIN,MEL,6100,8.0,8.8,hub,5
SIN,NRT,5300,7.0,8.5,hub,5
SIN,ICN,4600,6.5,8.2,hub,5

KUL,SYD,6600,9.0,8.7,hub,6
KUL,MEL,6400,8.5,8.5,hub,6

BKK,SYD,7500,9.5,9.2,hub,6
BKK,MEL,7300,9.0,9.0,hub,6

HKG,LAX,11600,14.0,10.5,long-haul,7
HKG,JFK,12900,15.5,11.0,long-haul,8

LHR,JFK,5500,8.0,9.5,transatlantic,6
FRA,JFK,6200,8.5,9.7,transatlantic,6
CDG,JFK,5800,8.0,9.6,transatlantic,6
AMS,JFK,6000,8.0,9.5,transatlantic,6

DOH,LHR,5200,7.5,8.3,hub,5
DOH,FRA,5000,7.0,8.0,hub,5

IST,LHR,2500,4.0,7.0,regional,5
IST,FRA,2000,3.5,6.8,regional,5

ICN,NRT,1200,2.5,6.0,regional,4
